blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,agebin
672,JLN DAMAI,9,1995,Y,N,N,Y,N,N,BD,92,0,0,0,76,16,0,0,0,0,0,0,0,4
7,BOON KENG RD,40,2011,Y,N,N,N,N,N,KWN,238,0,0,24,56,158,0,0,0,0,0,0,0,1
7,PINE CL,19,1998,Y,N,N,N,N,N,GL,95,0,0,0,24,71,0,0,0,0,0,0,0,4
747A,BEDOK RESERVOIR CRES,14,2014,Y,N,N,N,N,N,BD,81,0,0,14,27,40,0,0,0,0,0,0,0,1
747B,BEDOK RESERVOIR CRES,14,2014,Y,N,N,N,N,N,BD,81,0,0,0,41,40,0,0,0,0,0,0,0,1
747C,BEDOK RESERVOIR CRES,14,2014,Y,N,N,N,N,N,BD,80,0,0,0,54,26,0,0,0,0,0,0,0,1
748A,BEDOK RESERVOIR CRES,15,2014,Y,N,N,N,N,N,BD,86,0,0,29,29,28,0,0,0,0,0,0,0,1
748B,BEDOK RESERVOIR CRES,15,2014,Y,N,N,N,N,N,BD,73,0,0,30,29,14,0,0,0,0,0,0,0,1
748C,BEDOK RESERVOIR CRES,15,2014,Y,N,N,N,N,N,BD,87,0,0,29,29,29,0,0,0,0,0,0,0,1
761,BEDOK RESERVOIR VIEW,18,1999,Y,N,N,N,N,N,BD,155,0,0,0,87,68,0,0,0,0,0,0,0,4
762,BEDOK RESERVOIR VIEW,18,1998,Y,N,N,N,N,N,BD,155,0,0,0,87,68,0,0,0,0,0,0,0,4
763,BEDOK RESERVOIR VIEW,18,1998,Y,Y,N,N,N,N,BD,153,0,0,0,85,68,0,0,0,0,0,0,0,4
764,BEDOK RESERVOIR VIEW,15,1998,Y,N,N,N,N,N,BD,58,0,0,0,58,0,0,0,0,0,0,0,0,4
765,BEDOK RESERVOIR VIEW,18,1999,Y,N,N,Y,N,N,BD,151,0,0,0,83,68,0,0,0,0,0,0,0,4
