blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,agebin
38D,BENDEMEER RD,24,2010,Y,N,N,N,N,N,KWN,162,0,0,61,101,0,0,0,0,0,0,0,0,1
39,CAMBRIDGE RD,15,1997,Y,N,N,N,N,N,KWN,70,0,0,0,42,28,0,0,0,0,0,0,0,4
39,JLN TIGA,19,2003,Y,Y,N,N,N,N,GL,70,0,0,0,36,34,0,0,0,0,0,0,0,3
39A,BENDEMEER RD,27,2010,Y,N,N,N,N,N,KWN,148,0,0,22,126,0,0,0,0,0,0,0,0,1
4,BOON KENG RD,13,1995,Y,N,N,Y,N,N,KWN,93,0,0,0,88,5,0,0,0,0,0,0,0,4
4B,ST. GEORGE'S LANE,14,1995,Y,N,N,N,N,N,KWN,123,0,0,0,88,35,0,0,0,0,0,0,0,4
4C,ST. GEORGE'S LANE,16,1995,Y,Y,N,N,N,N,KWN,90,0,0,0,45,45,0,0,0,0,0,0,0,4
40,CAMBRIDGE RD,10,1997,Y,Y,N,N,N,N,KWN,81,0,0,0,51,30,0,0,0,0,0,0,0,4
41,CIRCUIT RD,18,1994,Y,N,N,N,N,N,GL,44,0,0,0,5,39,0,0,0,0,0,0,0,5
412,EUNOS RD 5,11,1990,Y,N,N,Y,N,N,GL,63,0,0,0,20,43,0,0,0,0,0,0,0,5
413,EUNOS RD 5,11,1990,Y,N,N,Y,N,N,GL,84,0,0,0,26,58,0,0,0,0,0,0,0,5
42,CIRCUIT RD,18,1994,Y,N,N,Y,N,N,GL,82,0,0,0,45,37,0,0,0,0,0,0,0,5
43,JLN TIGA,19,2003,Y,Y,N,N,N,N,GL,71,0,0,0,35,36,0,0,0,0,0,0,0,3
45,JLN TIGA,19,2003,Y,N,N,N,N,N,GL,110,0,0,0,74,36,0,0,0,0,0,0,0,3
46,BENDEMEER RD,21,1993,Y,N,N,N,N,N,KWN,64,0,0,0,0,0,64,0,0,0,0,0,0,5
47,JLN TIGA,19,2003,Y,N,N,N,N,N,GL,110,0,0,0,74,36,0,0,0,0,0,0,0,3
48,BENDEMEER RD,19,1993,Y,N,N,N,N,N,KWN,60,0,0,0,0,0,60,0,0,0,0,0,0,5
49,JLN TIGA,19,2003,Y,N,N,Y,N,N,GL,108,0,0,0,108,0,0,0,0,0,0,0,0,3
5,BOON KENG RD,16,1996,Y,N,N,Y,N,N,KWN,108,0,0,0,41,67,0,0,0,0,0,0,0,4
5,PINE CL,19,1998,Y,N,N,Y,N,N,GL,95,0,0,0,24,71,0,0,0,0,0,0,0,4
5A,UPP BOON KENG RD,25,2010,Y,N,N,N,N,N,KWN,240,0,0,192,48,0,0,0,0,0,0,0,0,1
509B,BEDOK NTH ST 3,15,2001,Y,N,N,Y,N,N,BD,130,0,19,0,0,0,0,0,111,0,0,0,0,3
52,CASSIA CRES,18,2016,Y,N,N,Y,N,N,GL,584,0,9,83,0,0,0,0,0,187,305,0,0,0
55,PIPIT RD,16,1996,Y,Y,N,N,N,N,GL,112,0,0,0,97,15,0,0,0,0,0,0,0,4
556,BEDOK NTH ST 3,15,2015,Y,N,N,N,N,N,BD,266,0,0,0,0,0,0,0,0,126,140,0,0,0
557,BEDOK NTH ST 3,15,2015,Y,N,N,N,N,N,BD,280,0,0,0,0,0,0,0,0,154,126,0,0,0
56,CASSIA CRES,19,1996,Y,N,N,N,N,N,GL,168,0,0,0,114,54,0,0,0,0,0,0,0,4
56,PIPIT RD,18,1996,Y,N,N,N,N,N,GL,68,0,0,0,0,68,0,0,0,0,0,0,0,4
58,GEYLANG BAHRU,21,1998,Y,N,N,N,N,N,KWN,97,0,0,0,57,40,0,0,0,0,0,0,0,4
