blk_no,street,max_floor_lvl,year_completed,total_dwelling_units,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,agebin
1,BEACH RD,16,1970,142,138,1,2,0,0,0,9
1,BEDOK STH AVE 1,14,1975,206,204,0,2,0,0,0,8
1,CHAI CHEE RD,15,1982,102,0,10,92,0,0,0,7
1,EUNOS CRES,14,1977,247,0,0,0,0,0,0,8
1,HAIG RD,15,1976,219,214,0,5,0,0,0,8
1,KG KAYU RD,10,1963,107,106,1,0,0,0,0,11
1,MARINE TER,25,1974,96,0,0,96,0,0,0,9
1,MAUDE RD,14,1970,176,0,0,0,0,0,0,9
1,PINE CL,19,1998,156,0,100,56,0,0,0,4
1,ST. GEORGE'S RD,12,1975,154,0,154,0,0,0,0,8
1,THOMSON RD,4,1977,8,0,0,0,0,0,0,8
1A,EUNOS CRES,2,1981,2,0,0,0,0,0,0,7
10,CHAI CHEE RD,15,1999,84,0,56,28,0,0,0,4
10,DAKOTA CRES,7,1958,53,0,0,0,0,0,0,12
10,EUNOS CRES,16,1977,180,0,180,0,0,0,0,8
10,GLOUCESTER RD,14,1976,207,180,26,1,0,0,0,8
10,HAIG RD,13,1976,133,133,0,0,0,0,0,8
10,JLN BATU,12,1966,132,0,8,97,27,0,0,10
10,NTH BRIDGE RD,16,1973,224,0,0,0,0,0,0,9
10,PINE CL,13,1981,120,72,48,0,0,0,0,7
10,ST. GEORGE'S RD,4,1984,12,0,12,0,0,0,0,7
10A,BENDEMEER RD,40,2016,220,71,149,0,0,0,0,0
10B,BEDOK STH AVE 2,20,1994,56,0,0,0,56,0,0,5
10B,BENDEMEER RD,40,2016,184,70,114,0,0,0,0,0
10C,BEDOK STH AVE 2,2,1994,2,0,0,0,2,0,0,5
10C,BENDEMEER RD,40,2016,220,71,149,0,0,0,0,0
10D,BEDOK STH AVE 2,23,1994,84,0,0,0,84,0,0,5
10E,BEDOK STH AVE 2,21,1992,81,0,0,0,81,0,0,5
10F,BEDOK STH AVE 2,24,1992,67,0,0,0,67,0,0,5
100,ALJUNIED CRES,12,1977,198,0,0,0,0,0,0,8
100,BEDOK NTH AVE 4,14,1978,206,178,26,1,1,0,0,8
100,WHAMPOA DR,25,1973,96,0,96,0,0,0,0,9
101,AH HOOD RD,25,1981,96,0,0,96,0,0,0,7
101,ALJUNIED CRES,12,1977,152,128,22,1,1,0,0,8
101,BEDOK RESERVOIR RD,12,1985,110,0,16,94,0,0,0,6
101,BEDOK NTH AVE 4,13,1977,168,0,0,0,0,0,0,8
101,JLN RAJAH,17,1980,128,0,128,0,0,0,0,7
101,LENGKONG TIGA,4,1988,10,0,0,0,10,0,0,6
101,TOWNER RD,4,1982,44,44,0,0,0,0,0,7
101,WHAMPOA DR,25,1973,96,0,96,0,0,0,0,9
102,ALJUNIED CRES,12,1977,150,124,22,3,1,0,0,8
102,BEDOK NTH AVE 4,14,1976,150,118,26,2,4,0,0,8
102,BEDOK RESERVOIR RD,4,1985,24,16,8,0,0,0,0,6
102,JLN DUSUN,25,1981,96,0,0,96,0,0,0,7
102,JLN RAJAH,12,1980,198,0,198,0,0,0,0,7
102,LENGKONG TIGA,14,1988,73,0,22,51,0,0,0,6
102,TOWNER RD,4,1983,36,36,0,0,0,0,0,7
103,AH HOOD RD,25,1981,96,0,0,96,0,0,0,7
103,ALJUNIED CRES,12,1977,154,0,0,0,0,0,0,8
103,BEDOK NTH AVE 4,14,1976,154,126,26,0,2,0,0,8
103,BEDOK RESERVOIR RD,12,1985,154,88,66,0,0,0,0,6
103,JLN RAJAH,25,1983,144,0,48,96,0,0,0,7
103,LENGKONG TIGA,14,1988,73,0,22,51,0,0,0,6
103,TOWNER RD,11,1982,80,0,40,40,0,0,0,7
104,ALJUNIED CRES,12,1977,88,0,88,0,0,0,0,8
104,BEDOK NTH AVE 4,14,1976,153,124,26,0,3,0,0,8
104,BEDOK RESERVOIR RD,15,1985,84,0,12,72,0,0,0,6
104,JLN DUSUN,4,1980,24,0,24,0,0,0,0,7
104,JLN RAJAH,25,1983,144,0,48,96,0,0,0,7
104,LENGKONG TIGA,9,1988,55,0,0,0,55,0,0,6
104,TOWNER RD,11,1982,90,0,40,50,0,0,0,7
104,WHAMPOA DR,19,1997,112,0,65,47,0,0,0,4
105,ALJUNIED CRES,12,1978,88,0,12,76,0,0,0,8
105,BEDOK NTH AVE 4,14,1976,155,128,26,0,1,0,0,8
105,BEDOK RESERVOIR RD,12,1985,110,66,44,0,0,0,0,6
105,JLN RAJAH,9,1983,72,0,0,0,72,0,0,7
105,LENGKONG TIGA,4,1988,8,0,0,0,8,0,0,6
105,TOWNER RD,25,1984,275,120,155,0,0,0,0,7
106,ALJUNIED CRES,12,1978,194,168,22,4,0,0,0,8
